GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Aldea de San Nicolás (La)	2014 Diciembre	Tasa variación interperiódica	-2.39
Aldea de San Nicolás (La)	2014 Diciembre	Dato	1146
Aldea de San Nicolás (La)	2014 Diciembre	Variación anual	-93
Aldea de San Nicolás (La)	2014 Diciembre	Variación interperiódica	-28
Aldea de San Nicolás (La)	2014 Noviembre	Tasa variación anual	-5.55
Aldea de San Nicolás (La)	2014 Noviembre	Tasa variación interperiódica	-2.00
Aldea de San Nicolás (La)	2014 Noviembre	Dato	1174
Aldea de San Nicolás (La)	2014 Noviembre	Variación anual	-69
Aldea de San Nicolás (La)	2014 Noviembre	Variación interperiódica	-24
Aldea de San Nicolás (La)	2014 Octubre	Tasa variación anual	-0.42
Aldea de San Nicolás (La)	2014 Octubre	Tasa variación interperiódica	2.83
Aldea de San Nicolás (La)	2014 Octubre	Dato	1198
Aldea de San Nicolás (La)	2014 Octubre	Variación anual	-5
Aldea de San Nicolás (La)	2014 Octubre	Variación interperiódica	33
Aldea de San Nicolás (La)	2014 Septiembre	Tasa variación anual	-0.51
Aldea de San Nicolás (La)	2014 Septiembre	Tasa variación interperiódica	1.13
Aldea de San Nicolás (La)	2014 Septiembre	Dato	1165
Aldea de San Nicolás (La)	2014 Septiembre	Variación anual	-6
Aldea de San Nicolás (La)	2014 Septiembre	Variación interperiódica	13
Aldea de San Nicolás (La)	2014 Agosto	Tasa variación anual	-1.20
Aldea de San Nicolás (La)	2014 Agosto	Tasa variación interperiódica	2.04
Aldea de San Nicolás (La)	2014 Agosto	Dato	1152
Aldea de San Nicolás (La)	2014 Agosto	Variación anual	-14
Aldea de San Nicolás (La)	2014 Agosto	Variación interperiódica	23
Aldea de San Nicolás (La)	2014 Julio	Tasa variación anual	-8.95
Aldea de San Nicolás (La)	2014 Julio	Tasa variación interperiódica	-6.23
Aldea de San Nicolás (La)	2014 Julio	Dato	1129
Aldea de San Nicolás (La)	2014 Julio	Variación anual	-111
Aldea de San Nicolás (La)	2014 Julio	Variación interperiódica	-75
Aldea de San Nicolás (La)	2014 Junio	Tasa variación anual	-6.38
Aldea de San Nicolás (La)	2014 Junio	Tasa variación interperiódica	-3.22
Aldea de San Nicolás (La)	2014 Junio	Dato	1204
Aldea de San Nicolás (La)	2014 Junio	Variación anual	-82
Aldea de San Nicolás (La)	2014 Junio	Variación interperiódica	-40
Aldea de San Nicolás (La)	2014 Mayo	Tasa variación anual	-2.12
Aldea de San Nicolás (La)	2014 Mayo	Tasa variación interperiódica	2.73
Aldea de San Nicolás (La)	2014 Mayo	Dato	1244
Aldea de San Nicolás (La)	2014 Mayo	Variación anual	-27
Aldea de San Nicolás (La)	2014 Mayo	Variación interperiódica	33
Aldea de San Nicolás (La)	2014 Abril	Tasa variación anual	-2.81
Aldea de San Nicolás (La)	2014 Abril	Tasa variación interperiódica	1.34
Aldea de San Nicolás (La)	2014 Abril	Dato	1211
Aldea de San Nicolás (La)	2014 Abril	Variación anual	-35
Aldea de San Nicolás (La)	2014 Abril	Variación interperiódica	16
Aldea de San Nicolás (La)	2014 Marzo	Tasa variación anual	-3.94
Aldea de San Nicolás (La)	2014 Marzo	Tasa variación interperiódica	1.36
Aldea de San Nicolás (La)	2014 Marzo	Dato	1195
Aldea de San Nicolás (La)	2014 Marzo	Variación anual	-49
Aldea de San Nicolás (La)	2014 Marzo	Variación interperiódica	16
Aldea de San Nicolás (La)	2014 Febrero	Tasa variación anual	-2.64
Aldea de San Nicolás (La)	2014 Febrero	Tasa variación interperiódica	-2.72
Aldea de San Nicolás (La)	2014 Febrero	Dato	1179
Aldea de San Nicolás (La)	2014 Febrero	Variación anual	-32
Aldea de San Nicolás (La)	2014 Febrero	Variación interperiódica	-33
Aldea de San Nicolás (La)	2014 Enero	Tasa variación anual	-0.08
Aldea de San Nicolás (La)	2014 Enero	Tasa variación interperiódica	-2.18
Aldea de San Nicolás (La)	2014 Enero	Dato	1212
Aldea de San Nicolás (La)	2014 Enero	Variación anual	-1
Aldea de San Nicolás (La)	2014 Enero	Variación interperiódica	-27
Aldea de San Nicolás (La)	2013 Diciembre	Tasa variación anual	8.30
Aldea de San Nicolás (La)	2013 Diciembre	Tasa variación interperiódica	-0.32
Aldea de San Nicolás (La)	2013 Diciembre	Dato	1239
Aldea de San Nicolás (La)	2013 Diciembre	Variación anual	95
Aldea de San Nicolás (La)	2013 Diciembre	Variación interperiódica	-4
Aldea de San Nicolás (La)	2013 Noviembre	Tasa variación anual	5.52
Aldea de San Nicolás (La)	2013 Noviembre	Tasa variación interperiódica	3.33
Aldea de San Nicolás (La)	2013 Noviembre	Dato	1243
Aldea de San Nicolás (La)	2013 Noviembre	Variación anual	65
Aldea de San Nicolás (La)	2013 Noviembre	Variación interperiódica	40
Aldea de San Nicolás (La)	2013 Octubre	Tasa variación anual	2.91
Aldea de San Nicolás (La)	2013 Octubre	Tasa variación interperiódica	2.73
Aldea de San Nicolás (La)	2013 Octubre	Dato	1203
Aldea de San Nicolás (La)	2013 Octubre	Variación anual	34
Aldea de San Nicolás (La)	2013 Octubre	Variación interperiódica	32
Aldea de San Nicolás (La)	2013 Septiembre	Tasa variación anual	-4.41
Aldea de San Nicolás (La)	2013 Septiembre	Tasa variación interperiódica	0.43
Aldea de San Nicolás (La)	2013 Septiembre	Dato	1171
Aldea de San Nicolás (La)	2013 Septiembre	Variación anual	-54
Aldea de San Nicolás (La)	2013 Septiembre	Variación interperiódica	5
Aldea de San Nicolás (La)	2013 Agosto	Tasa variación anual	-2.43
Aldea de San Nicolás (La)	2013 Agosto	Tasa variación interperiódica	-5.97
Aldea de San Nicolás (La)	2013 Agosto	Dato	1166
Aldea de San Nicolás (La)	2013 Agosto	Variación anual	-29
Aldea de San Nicolás (La)	2013 Agosto	Variación interperiódica	-74
Aldea de San Nicolás (La)	2013 Julio	Tasa variación anual	4.64
Aldea de San Nicolás (La)	2013 Julio	Tasa variación interperiódica	-3.58
Aldea de San Nicolás (La)	2013 Julio	Dato	1240
Aldea de San Nicolás (La)	2013 Julio	Variación anual	55
Aldea de San Nicolás (La)	2013 Julio	Variación interperiódica	-46
Aldea de San Nicolás (La)	2013 Junio	Tasa variación anual	4.21
Aldea de San Nicolás (La)	2013 Junio	Tasa variación interperiódica	1.18
Aldea de San Nicolás (La)	2013 Junio	Dato	1286
Aldea de San Nicolás (La)	2013 Junio	Variación anual	52
Aldea de San Nicolás (La)	2013 Junio	Variación interperiódica	15
Aldea de San Nicolás (La)	2013 Mayo	Tasa variación anual	4.95
Aldea de San Nicolás (La)	2013 Mayo	Tasa variación interperiódica	2.01
Aldea de San Nicolás (La)	2013 Mayo	Dato	1271
Aldea de San Nicolás (La)	2013 Mayo	Variación anual	60
Aldea de San Nicolás (La)	2013 Mayo	Variación interperiódica	25
Aldea de San Nicolás (La)	2013 Abril	Tasa variación anual	5.41
Aldea de San Nicolás (La)	2013 Abril	Tasa variación interperiódica	0.16
Aldea de San Nicolás (La)	2013 Abril	Dato	1246
Aldea de San Nicolás (La)	2013 Abril	Variación anual	64
Aldea de San Nicolás (La)	2013 Abril	Variación interperiódica	2
Aldea de San Nicolás (La)	2013 Marzo	Tasa variación anual	5.33
Aldea de San Nicolás (La)	2013 Marzo	Tasa variación interperiódica	2.73
Aldea de San Nicolás (La)	2013 Marzo	Dato	1244
Aldea de San Nicolás (La)	2013 Marzo	Variación anual	63
Aldea de San Nicolás (La)	2013 Marzo	Variación interperiódica	33
Aldea de San Nicolás (La)	2013 Febrero	Tasa variación anual	4.67
Aldea de San Nicolás (La)	2013 Febrero	Tasa variación interperiódica	-0.16
Aldea de San Nicolás (La)	2013 Febrero	Dato	1211
Aldea de San Nicolás (La)	2013 Febrero	Variación anual	54
Aldea de San Nicolás (La)	2013 Febrero	Variación interperiódica	-2
Aldea de San Nicolás (La)	2013 Enero	Tasa variación anual	8.01
Aldea de San Nicolás (La)	2013 Enero	Tasa variación interperiódica	6.03
Aldea de San Nicolás (La)	2013 Enero	Dato	1213
Aldea de San Nicolás (La)	2013 Enero	Variación anual	90
Aldea de San Nicolás (La)	2013 Enero	Variación interperiódica	69
Aldea de San Nicolás (La)	2012 Diciembre	Tasa variación anual	6.02
Aldea de San Nicolás (La)	2012 Diciembre	Tasa variación interperiódica	-2.89
Aldea de San Nicolás (La)	2012 Diciembre	Dato	1144
Aldea de San Nicolás (La)	2012 Diciembre	Variación anual	65
Aldea de San Nicolás (La)	2012 Diciembre	Variación interperiódica	-34
Aldea de San Nicolás (La)	2012 Noviembre	Tasa variación anual	10.09
Aldea de San Nicolás (La)	2012 Noviembre	Tasa variación interperiódica	0.77
Aldea de San Nicolás (La)	2012 Noviembre	Dato	1178
Aldea de San Nicolás (La)	2012 Noviembre	Variación anual	108
Aldea de San Nicolás (La)	2012 Noviembre	Variación interperiódica	9
Aldea de San Nicolás (La)	2012 Octubre	Tasa variación anual	19.90
Aldea de San Nicolás (La)	2012 Octubre	Tasa variación interperiódica	-4.57
Aldea de San Nicolás (La)	2012 Octubre	Dato	1169
Aldea de San Nicolás (La)	2012 Octubre	Variación anual	194
Aldea de San Nicolás (La)	2012 Octubre	Variación interperiódica	-56
Aldea de San Nicolás (La)	2012 Septiembre	Tasa variación anual	36.57
Aldea de San Nicolás (La)	2012 Septiembre	Tasa variación interperiódica	2.51
Aldea de San Nicolás (La)	2012 Septiembre	Dato	1225
Aldea de San Nicolás (La)	2012 Septiembre	Variación anual	328
Aldea de San Nicolás (La)	2012 Septiembre	Variación interperiódica	30
Aldea de San Nicolás (La)	2012 Agosto	Tasa variación anual	30.03
Aldea de San Nicolás (La)	2012 Agosto	Tasa variación interperiódica	0.84
Aldea de San Nicolás (La)	2012 Agosto	Dato	1195
Aldea de San Nicolás (La)	2012 Agosto	Variación anual	276
Aldea de San Nicolás (La)	2012 Agosto	Variación interperiódica	10
Aldea de San Nicolás (La)	2012 Julio	Tasa variación anual	29.23
Aldea de San Nicolás (La)	2012 Julio	Tasa variación interperiódica	-3.97
Aldea de San Nicolás (La)	2012 Julio	Dato	1185
Aldea de San Nicolás (La)	2012 Julio	Variación anual	268
Aldea de San Nicolás (La)	2012 Julio	Variación interperiódica	-49
Aldea de San Nicolás (La)	2012 Junio	Tasa variación anual	25.03
Aldea de San Nicolás (La)	2012 Junio	Tasa variación interperiódica	1.90
Aldea de San Nicolás (La)	2012 Junio	Dato	1234
Aldea de San Nicolás (La)	2012 Junio	Variación anual	247
Aldea de San Nicolás (La)	2012 Junio	Variación interperiódica	23
Aldea de San Nicolás (La)	2012 Mayo	Tasa variación anual	28.56
Aldea de San Nicolás (La)	2012 Mayo	Tasa variación interperiódica	2.45
Aldea de San Nicolás (La)	2012 Mayo	Dato	1211
Aldea de San Nicolás (La)	2012 Mayo	Variación anual	269
Aldea de San Nicolás (La)	2012 Mayo	Variación interperiódica	29
Aldea de San Nicolás (La)	2012 Abril	Tasa variación anual	24.95
Aldea de San Nicolás (La)	2012 Abril	Tasa variación interperiódica	0.08
Aldea de San Nicolás (La)	2012 Abril	Dato	1182
Aldea de San Nicolás (La)	2012 Abril	Variación anual	236
Aldea de San Nicolás (La)	2012 Abril	Variación interperiódica	1
Aldea de San Nicolás (La)	2012 Marzo	Tasa variación anual	16.01
Aldea de San Nicolás (La)	2012 Marzo	Tasa variación interperiódica	2.07
Aldea de San Nicolás (La)	2012 Marzo	Dato	1181
Aldea de San Nicolás (La)	2012 Marzo	Variación anual	163
Aldea de San Nicolás (La)	2012 Marzo	Variación interperiódica	24
Aldea de San Nicolás (La)	2012 Febrero	Tasa variación anual	15.01
Aldea de San Nicolás (La)	2012 Febrero	Tasa variación interperiódica	3.03
Aldea de San Nicolás (La)	2012 Febrero	Dato	1157
Aldea de San Nicolás (La)	2012 Febrero	Variación anual	151
Aldea de San Nicolás (La)	2012 Febrero	Variación interperiódica	34
Aldea de San Nicolás (La)	2012 Enero	Tasa variación anual	13.43
Aldea de San Nicolás (La)	2012 Enero	Tasa variación interperiódica	4.08
Aldea de San Nicolás (La)	2012 Enero	Dato	1123
Aldea de San Nicolás (La)	2012 Enero	Variación anual	133
Aldea de San Nicolás (La)	2012 Enero	Variación interperiódica	44
Aldea de San Nicolás (La)	2011 Diciembre	Tasa variación anual	8.77
Aldea de San Nicolás (La)	2011 Diciembre	Tasa variación interperiódica	0.84
Aldea de San Nicolás (La)	2011 Diciembre	Dato	1079
Aldea de San Nicolás (La)	2011 Diciembre	Variación anual	87
Aldea de San Nicolás (La)	2011 Diciembre	Variación interperiódica	9
Aldea de San Nicolás (La)	2011 Noviembre	Tasa variación anual	8.30
Aldea de San Nicolás (La)	2011 Noviembre	Tasa variación interperiódica	9.74
Aldea de San Nicolás (La)	2011 Noviembre	Dato	1070
Aldea de San Nicolás (La)	2011 Noviembre	Variación anual	82
Aldea de San Nicolás (La)	2011 Noviembre	Variación interperiódica	95
Aldea de San Nicolás (La)	2011 Octubre	Tasa variación anual	-8.36
Aldea de San Nicolás (La)	2011 Octubre	Tasa variación interperiódica	8.70
Aldea de San Nicolás (La)	2011 Octubre	Dato	975
Aldea de San Nicolás (La)	2011 Octubre	Variación anual	-89
Aldea de San Nicolás (La)	2011 Octubre	Variación interperiódica	78
Aldea de San Nicolás (La)	2011 Septiembre	Tasa variación anual	-13.17
Aldea de San Nicolás (La)	2011 Septiembre	Tasa variación interperiódica	-2.39
Aldea de San Nicolás (La)	2011 Septiembre	Dato	897
Aldea de San Nicolás (La)	2011 Septiembre	Variación anual	-136
Aldea de San Nicolás (La)	2011 Septiembre	Variación interperiódica	-22
Aldea de San Nicolás (La)	2011 Agosto	Tasa variación anual	-12.64
Aldea de San Nicolás (La)	2011 Agosto	Tasa variación interperiódica	0.22
Aldea de San Nicolás (La)	2011 Agosto	Dato	919
Aldea de San Nicolás (La)	2011 Agosto	Variación anual	-133
Aldea de San Nicolás (La)	2011 Agosto	Variación interperiódica	2
Aldea de San Nicolás (La)	2011 Julio	Tasa variación anual	-13.00
Aldea de San Nicolás (La)	2011 Julio	Tasa variación interperiódica	-7.09
Aldea de San Nicolás (La)	2011 Julio	Dato	917
Aldea de San Nicolás (La)	2011 Julio	Variación anual	-137
Aldea de San Nicolás (La)	2011 Julio	Variación interperiódica	-70
Aldea de San Nicolás (La)	2011 Junio	Tasa variación anual	-13.27
Aldea de San Nicolás (La)	2011 Junio	Tasa variación interperiódica	4.78
Aldea de San Nicolás (La)	2011 Junio	Dato	987
Aldea de San Nicolás (La)	2011 Junio	Variación anual	-151
Aldea de San Nicolás (La)	2011 Junio	Variación interperiódica	45
Aldea de San Nicolás (La)	2011 Mayo	Tasa variación anual	-17.66
Aldea de San Nicolás (La)	2011 Mayo	Tasa variación interperiódica	-0.42
Aldea de San Nicolás (La)	2011 Mayo	Dato	942
Aldea de San Nicolás (La)	2011 Mayo	Variación anual	-202
Aldea de San Nicolás (La)	2011 Mayo	Variación interperiódica	-4
Aldea de San Nicolás (La)	2011 Abril	Tasa variación anual	-14.77
Aldea de San Nicolás (La)	2011 Abril	Tasa variación interperiódica	-7.07
Aldea de San Nicolás (La)	2011 Abril	Dato	946
Aldea de San Nicolás (La)	2011 Abril	Variación anual	-164
Aldea de San Nicolás (La)	2011 Abril	Variación interperiódica	-72
Aldea de San Nicolás (La)	2011 Marzo	Tasa variación anual	-7.71
Aldea de San Nicolás (La)	2011 Marzo	Tasa variación interperiódica	1.19
Aldea de San Nicolás (La)	2011 Marzo	Dato	1018
Aldea de San Nicolás (La)	2011 Marzo	Variación anual	-85
Aldea de San Nicolás (La)	2011 Marzo	Variación interperiódica	12
Aldea de San Nicolás (La)	2011 Febrero	Tasa variación anual	-2.71
Aldea de San Nicolás (La)	2011 Febrero	Tasa variación interperiódica	1.62
Aldea de San Nicolás (La)	2011 Febrero	Dato	1006
Aldea de San Nicolás (La)	2011 Febrero	Variación anual	-28
Aldea de San Nicolás (La)	2011 Febrero	Variación interperiódica	16
Aldea de San Nicolás (La)	2011 Enero	Tasa variación anual	1.54
Aldea de San Nicolás (La)	2011 Enero	Tasa variación interperiódica	-0.20
Aldea de San Nicolás (La)	2011 Enero	Dato	990
Aldea de San Nicolás (La)	2011 Enero	Variación anual	15
Aldea de San Nicolás (La)	2011 Enero	Variación interperiódica	-2
Aldea de San Nicolás (La)	2010 Diciembre	Tasa variación anual	2.59
Aldea de San Nicolás (La)	2010 Diciembre	Tasa variación interperiódica	0.40
Aldea de San Nicolás (La)	2010 Diciembre	Dato	992
Aldea de San Nicolás (La)	2010 Diciembre	Variación anual	25
Aldea de San Nicolás (La)	2010 Diciembre	Variación interperiódica	4
Aldea de San Nicolás (La)	2010 Noviembre	Tasa variación anual	7.16
Aldea de San Nicolás (La)	2010 Noviembre	Tasa variación interperiódica	-7.14
Aldea de San Nicolás (La)	2010 Noviembre	Dato	988
Aldea de San Nicolás (La)	2010 Noviembre	Variación anual	66
Aldea de San Nicolás (La)	2010 Noviembre	Variación interperiódica	-76
Aldea de San Nicolás (La)	2010 Octubre	Tasa variación anual	12.95
Aldea de San Nicolás (La)	2010 Octubre	Tasa variación interperiódica	3.00
Aldea de San Nicolás (La)	2010 Octubre	Dato	1064
Aldea de San Nicolás (La)	2010 Octubre	Variación anual	122
Aldea de San Nicolás (La)	2010 Octubre	Variación interperiódica	31
Aldea de San Nicolás (La)	2010 Septiembre	Tasa variación anual	9.54
Aldea de San Nicolás (La)	2010 Septiembre	Tasa variación interperiódica	-1.81
Aldea de San Nicolás (La)	2010 Septiembre	Dato	1033
Aldea de San Nicolás (La)	2010 Septiembre	Variación anual	90
Aldea de San Nicolás (La)	2010 Septiembre	Variación interperiódica	-19
Aldea de San Nicolás (La)	2010 Agosto	Tasa variación anual	16.50
Aldea de San Nicolás (La)	2010 Agosto	Tasa variación interperiódica	-0.19
Aldea de San Nicolás (La)	2010 Agosto	Dato	1052
Aldea de San Nicolás (La)	2010 Agosto	Variación anual	149
Aldea de San Nicolás (La)	2010 Agosto	Variación interperiódica	-2
Aldea de San Nicolás (La)	2010 Julio	Tasa variación anual	16.46
Aldea de San Nicolás (La)	2010 Julio	Tasa variación interperiódica	-7.38
Aldea de San Nicolás (La)	2010 Julio	Dato	1054
Aldea de San Nicolás (La)	2010 Julio	Variación anual	149
Aldea de San Nicolás (La)	2010 Julio	Variación interperiódica	-84
Aldea de San Nicolás (La)	2010 Junio	Tasa variación anual	17.32
Aldea de San Nicolás (La)	2010 Junio	Tasa variación interperiódica	-0.52
Aldea de San Nicolás (La)	2010 Junio	Dato	1138
Aldea de San Nicolás (La)	2010 Junio	Variación anual	168
Aldea de San Nicolás (La)	2010 Junio	Variación interperiódica	-6
Aldea de San Nicolás (La)	2010 Mayo	Tasa variación anual	21.19
Aldea de San Nicolás (La)	2010 Mayo	Tasa variación interperiódica	3.06
Aldea de San Nicolás (La)	2010 Mayo	Dato	1144
Aldea de San Nicolás (La)	2010 Mayo	Variación anual	200
Aldea de San Nicolás (La)	2010 Mayo	Variación interperiódica	34
Aldea de San Nicolás (La)	2010 Abril	Tasa variación anual	15.26
Aldea de San Nicolás (La)	2010 Abril	Tasa variación interperiódica	0.63
Aldea de San Nicolás (La)	2010 Abril	Dato	1110
Aldea de San Nicolás (La)	2010 Abril	Variación anual	147
Aldea de San Nicolás (La)	2010 Abril	Variación interperiódica	7
Aldea de San Nicolás (La)	2010 Marzo	Tasa variación anual	16.11
Aldea de San Nicolás (La)	2010 Marzo	Tasa variación interperiódica	6.67
Aldea de San Nicolás (La)	2010 Marzo	Dato	1103
Aldea de San Nicolás (La)	2010 Marzo	Variación anual	153
Aldea de San Nicolás (La)	2010 Marzo	Variación interperiódica	69
Aldea de San Nicolás (La)	2010 Febrero	Tasa variación anual	9.77
Aldea de San Nicolás (La)	2010 Febrero	Tasa variación interperiódica	6.05
Aldea de San Nicolás (La)	2010 Febrero	Dato	1034
Aldea de San Nicolás (La)	2010 Febrero	Variación anual	92
Aldea de San Nicolás (La)	2010 Febrero	Variación interperiódica	59
Aldea de San Nicolás (La)	2010 Enero	Tasa variación anual	13.90
Aldea de San Nicolás (La)	2010 Enero	Tasa variación interperiódica	0.83
Aldea de San Nicolás (La)	2010 Enero	Dato	975
Aldea de San Nicolás (La)	2010 Enero	Variación anual	119
Aldea de San Nicolás (La)	2010 Enero	Variación interperiódica	8
Aldea de San Nicolás (La)	2009 Diciembre	Tasa variación anual	30.85
Aldea de San Nicolás (La)	2009 Diciembre	Tasa variación interperiódica	4.88
Aldea de San Nicolás (La)	2009 Diciembre	Dato	967
Aldea de San Nicolás (La)	2009 Diciembre	Variación anual	228
Aldea de San Nicolás (La)	2009 Diciembre	Variación interperiódica	45
Aldea de San Nicolás (La)	2009 Noviembre	Tasa variación anual	23.76
Aldea de San Nicolás (La)	2009 Noviembre	Tasa variación interperiódica	-2.12
Aldea de San Nicolás (La)	2009 Noviembre	Dato	922
Aldea de San Nicolás (La)	2009 Noviembre	Variación anual	177
Aldea de San Nicolás (La)	2009 Noviembre	Variación interperiódica	-20
Aldea de San Nicolás (La)	2009 Octubre	Tasa variación anual	33.81
Aldea de San Nicolás (La)	2009 Octubre	Tasa variación interperiódica	-0.11
Aldea de San Nicolás (La)	2009 Octubre	Dato	942
Aldea de San Nicolás (La)	2009 Octubre	Variación anual	238
Aldea de San Nicolás (La)	2009 Octubre	Variación interperiódica	-1
Aldea de San Nicolás (La)	2009 Septiembre	Tasa variación anual	33.95
Aldea de San Nicolás (La)	2009 Septiembre	Tasa variación interperiódica	4.43
Aldea de San Nicolás (La)	2009 Septiembre	Dato	943
Aldea de San Nicolás (La)	2009 Septiembre	Variación anual	239
Aldea de San Nicolás (La)	2009 Septiembre	Variación interperiódica	40
Aldea de San Nicolás (La)	2009 Agosto	Tasa variación anual	38.92
Aldea de San Nicolás (La)	2009 Agosto	Tasa variación interperiódica	-0.22
Aldea de San Nicolás (La)	2009 Agosto	Dato	903
Aldea de San Nicolás (La)	2009 Agosto	Variación anual	253
Aldea de San Nicolás (La)	2009 Agosto	Variación interperiódica	-2
Aldea de San Nicolás (La)	2009 Julio	Tasa variación anual	42.30
Aldea de San Nicolás (La)	2009 Julio	Tasa variación interperiódica	-6.70
Aldea de San Nicolás (La)	2009 Julio	Dato	905
Aldea de San Nicolás (La)	2009 Julio	Variación anual	269
Aldea de San Nicolás (La)	2009 Julio	Variación interperiódica	-65
Aldea de San Nicolás (La)	2009 Junio	Tasa variación anual	55.45
Aldea de San Nicolás (La)	2009 Junio	Tasa variación interperiódica	2.75
Aldea de San Nicolás (La)	2009 Junio	Dato	970
Aldea de San Nicolás (La)	2009 Junio	Variación anual	346
Aldea de San Nicolás (La)	2009 Junio	Variación interperiódica	26
Aldea de San Nicolás (La)	2009 Mayo	Tasa variación anual	56.81
Aldea de San Nicolás (La)	2009 Mayo	Tasa variación interperiódica	-1.97
Aldea de San Nicolás (La)	2009 Mayo	Dato	944
Aldea de San Nicolás (La)	2009 Mayo	Variación anual	342
Aldea de San Nicolás (La)	2009 Mayo	Variación interperiódica	-19
Aldea de San Nicolás (La)	2009 Abril	Tasa variación anual	79.33
Aldea de San Nicolás (La)	2009 Abril	Tasa variación interperiódica	1.37
Aldea de San Nicolás (La)	2009 Abril	Dato	963
Aldea de San Nicolás (La)	2009 Abril	Variación anual	426
Aldea de San Nicolás (La)	2009 Abril	Variación interperiódica	13
Aldea de San Nicolás (La)	2009 Marzo	Tasa variación anual	87.38
Aldea de San Nicolás (La)	2009 Marzo	Tasa variación interperiódica	0.85
Aldea de San Nicolás (La)	2009 Marzo	Dato	950
Aldea de San Nicolás (La)	2009 Marzo	Variación anual	443
Aldea de San Nicolás (La)	2009 Marzo	Variación interperiódica	8
Aldea de San Nicolás (La)	2009 Febrero	Tasa variación anual	91.46
Aldea de San Nicolás (La)	2009 Febrero	Tasa variación interperiódica	10.05
Aldea de San Nicolás (La)	2009 Febrero	Dato	942
Aldea de San Nicolás (La)	2009 Febrero	Variación anual	450
Aldea de San Nicolás (La)	2009 Febrero	Variación interperiódica	86
Aldea de San Nicolás (La)	2009 Enero	Tasa variación anual	76.49
Aldea de San Nicolás (La)	2009 Enero	Tasa variación interperiódica	15.83
Aldea de San Nicolás (La)	2009 Enero	Dato	856
Aldea de San Nicolás (La)	2009 Enero	Variación anual	371
Aldea de San Nicolás (La)	2009 Enero	Variación interperiódica	117
Aldea de San Nicolás (La)	2008 Diciembre	Tasa variación anual	57.57
Aldea de San Nicolás (La)	2008 Diciembre	Tasa variación interperiódica	-0.81
Aldea de San Nicolás (La)	2008 Diciembre	Dato	739
Aldea de San Nicolás (La)	2008 Diciembre	Variación anual	270
Aldea de San Nicolás (La)	2008 Diciembre	Variación interperiódica	-6
Aldea de San Nicolás (La)	2008 Noviembre	Tasa variación anual	56.51
Aldea de San Nicolás (La)	2008 Noviembre	Tasa variación interperiódica	5.82
Aldea de San Nicolás (La)	2008 Noviembre	Dato	745
Aldea de San Nicolás (La)	2008 Noviembre	Variación anual	269
Aldea de San Nicolás (La)	2008 Noviembre	Variación interperiódica	41
Aldea de San Nicolás (La)	2008 Octubre	Tasa variación anual	44.86
Aldea de San Nicolás (La)	2008 Octubre	Tasa variación interperiódica	0.00
Aldea de San Nicolás (La)	2008 Octubre	Dato	704
Aldea de San Nicolás (La)	2008 Octubre	Variación anual	218
Aldea de San Nicolás (La)	2008 Octubre	Variación interperiódica	0
Aldea de San Nicolás (La)	2008 Septiembre	Tasa variación anual	49.47
Aldea de San Nicolás (La)	2008 Septiembre	Tasa variación interperiódica	8.31
Aldea de San Nicolás (La)	2008 Septiembre	Dato	704
Aldea de San Nicolás (La)	2008 Septiembre	Variación anual	233
Aldea de San Nicolás (La)	2008 Septiembre	Variación interperiódica	54
Aldea de San Nicolás (La)	2008 Agosto	Tasa variación anual	54.39
Aldea de San Nicolás (La)	2008 Agosto	Tasa variación interperiódica	2.20
Aldea de San Nicolás (La)	2008 Agosto	Dato	650
Aldea de San Nicolás (La)	2008 Agosto	Variación anual	229
Aldea de San Nicolás (La)	2008 Agosto	Variación interperiódica	14
Aldea de San Nicolás (La)	2008 Julio	Tasa variación anual	43.24
Aldea de San Nicolás (La)	2008 Julio	Tasa variación interperiódica	1.92
Aldea de San Nicolás (La)	2008 Julio	Dato	636
Aldea de San Nicolás (La)	2008 Julio	Variación anual	192
Aldea de San Nicolás (La)	2008 Julio	Variación interperiódica	12
Aldea de San Nicolás (La)	2008 Junio	Tasa variación anual	30.54
Aldea de San Nicolás (La)	2008 Junio	Tasa variación interperiódica	3.65
Aldea de San Nicolás (La)	2008 Junio	Dato	624
Aldea de San Nicolás (La)	2008 Junio	Variación anual	146
Aldea de San Nicolás (La)	2008 Junio	Variación interperiódica	22
Aldea de San Nicolás (La)	2008 Mayo	Tasa variación anual	25.16
Aldea de San Nicolás (La)	2008 Mayo	Tasa variación interperiódica	12.10
Aldea de San Nicolás (La)	2008 Mayo	Dato	602
Aldea de San Nicolás (La)	2008 Mayo	Variación anual	121
Aldea de San Nicolás (La)	2008 Mayo	Variación interperiódica	65
Aldea de San Nicolás (La)	2008 Abril	Tasa variación anual	22.32
Aldea de San Nicolás (La)	2008 Abril	Tasa variación interperiódica	5.92
Aldea de San Nicolás (La)	2008 Abril	Dato	537
Aldea de San Nicolás (La)	2008 Abril	Variación anual	98
Aldea de San Nicolás (La)	2008 Abril	Variación interperiódica	30
Aldea de San Nicolás (La)	2008 Marzo	Tasa variación anual	13.42
Aldea de San Nicolás (La)	2008 Marzo	Tasa variación interperiódica	3.05
Aldea de San Nicolás (La)	2008 Marzo	Dato	507
Aldea de San Nicolás (La)	2008 Marzo	Variación anual	60
Aldea de San Nicolás (La)	2008 Marzo	Variación interperiódica	15
